title,audience_rating,genre,critic_rating,runtime,votes,gross,year
A Bela e o Monstro,7.1,"Adventure, Family, Fantasy",65,129 min,324255,"504,014,165",2017
Caçador de Mentes,8.6,"Crime, Drama, Mystery",N/A,60 min,314030,N/A,2017
Lady Bird,7.4,"Comedy, Drama",93,94 min,312615,"48,958,273",2017
Por 13 Razões,7.5,"Drama, Mystery, Thriller",N/A,60 min,306729,N/A,2017
O Grande Showman,7.5,"Biography, Drama, Musical",48,105 min,298434,"174,340,174",2017
Chama-me Pelo Teu Nome,7.8,"Drama, Romance",94,132 min,296155,"18,095,701",2017
Alien: Covenant,6.4,"Horror, Sci-Fi, Thriller",65,122 min,293488,"74,262,031",2017
Um Crime no Expresso do Oriente,6.5,"Crime, Drama, Mystery",52,114 min,273324,"102,826,543",2017
Planeta dos Macacos: A Guerra,7.4,"Action, Adventure, Drama",82,140 min,270826,"146,880,162",2017
Wind River,7.7,"Crime, Drama, Mystery",73,107 min,266936,"33,800,859",2017
O Justiceiro,8.5,"Action, Crime, Drama",N/A,53 min,253254,N/A,2017
A História de Uma Serva,8.4,"Drama, Sci-Fi, Thriller",N/A,60 min,249740,N/A,2017
Velocidade Furiosa 8,6.6,"Action, Crime, Thriller",56,136 min,246331,"226,008,385",2017
Vida Inteligente,6.6,"Horror, Sci-Fi, Thriller",54,104 min,243770,"30,234,022",2017
O Guarda-Costas e o Assassino,6.9,"Action, Comedy, Crime",47,118 min,240894,"75,468,583",2017
Mãe!,6.6,"Drama, Horror, Mystery",76,121 min,240068,"17,800,004",2017
"Eu, Tonya",7.5,"Biography, Comedy, Drama",77,119 min,233001,"30,014,539",2017
Rei Artur: A Lenda da Espada,6.7,"Action, Adventure, Drama",41,126 min,226023,"39,175,066",2017
Ghost in the Shell - Agente do Futuro,6.3,"Action, Crime, Drama",52,107 min,222983,"40,563,557",2017
Big Little Lies,8.5,"Crime, Drama, Mystery",N/A,60 min,214564,N/A,2017
A Hora Mais Negra,7.4,"Biography, Drama, War",75,125 min,212891,"56,468,410",2017
The End of the F***ing World,8.0,"Adventure, Comedy, Crime",N/A,25 min,208544,N/A,2017
Atomic Blonde - Agente Especial,6.7,"Action, Thriller",63,115 min,201673,"51,687,870",2017
A Múmia,5.4,"Action, Adventure, Fantasy",34,111 min,199163,"80,101,125",2017
Barry Seal: Traficante Americano,7.1,"Action, Comedy, Crime",65,115 min,197485,"51,342,000",2017
Bright,6.3,"Action, Fantasy, Thriller",29,117 min,197219,N/A,2017
Baywatch: Marés Vivas,5.5,"Action, Comedy, Crime",37,116 min,196247,"58,060,186",2017
Valerian e a Cidade dos Mil Planetas,6.4,"Action, Adventure, Fantasy",51,136 min,191459,"41,189,488",2017
Jogo da Alta-Roda,7.4,"Biography, Crime, Drama",71,140 min,181595,"28,780,744",2017
Wonder - Encantador,7.9,"Drama, Family",66,113 min,172764,"132,422,809",2017
O Sacrifício de Um Cervo Sagrado,7.0,"Drama, Horror, Mystery",73,121 min,168138,"2,291,901",2017
Lego Batman: O Filme,7.3,"Animation, Action, Adventure",75,104 min,165390,"175,750,384",2017
Transformers: O Último Cavaleiro,5.2,"Action, Adventure, Sci-Fi",27,154 min,163529,"130,168,683",2017
Um Desastre de Artista,7.3,"Biography, Comedy, Drama",76,104 min,160501,"21,120,616",2017
The Post,7.2,"Biography, Drama, History",83,116 min,157985,"81,903,458",2017
Sorte à Logan,7.0,"Action, Comedy, Crime",78,118 min,157073,"27,780,977",2017
Feliz Dia Para Morrer,6.6,"Comedy, Horror, Mystery",58,96 min,154632,"55,683,845",2017
Riverdale,6.5,"Crime, Drama, Mystery",N/A,45 min,151207,N/A,2017
Gru: O Maldisposto 3,6.2,"Animation, Adventure, Comedy",49,89 min,146013,"264,624,300",2017
Taboo,8.3,"Drama, Mystery, Thriller",N/A,59 min,144837,N/A,2017
Annabelle 2: A Criação do Mal,6.5,"Horror, Mystery, Thriller",62,109 min,144122,"102,092,201",2017
A Torre Negra,5.6,"Action, Adventure, Fantasy",34,95 min,143154,"50,701,325",2017
Amor de Improviso,7.5,"Comedy, Drama, Romance",86,120 min,140513,"42,873,127",2017
Linha Fantasma,7.4,"Drama, History, Romance",90,130 min,140104,"21,023,275",2017
Punho de Ferro,6.4,"Action, Adventure, Crime",N/A,55 min,136308,N/A,2017
A Maravilhosa Sra. Maisel,8.7,"Comedy, Drama",N/A,57 min,135920,N/A,2017
The Boss Baby,6.3,"Animation, Adventure, Comedy",50,97 min,135892,"175,003,033",2017
The Sinner,7.9,"Crime, Drama, Mystery",N/A,45 min,133229,N/A,2017
Good Time,7.3,"Crime, Drama, Thriller",80,102 min,133023,"2,026,499",2017
Sete Irmãs,6.8,"Action, Crime, Fantasy",47,123 min,130141,N/A,2017
T2 Trainspotting,7.2,"Comedy, Crime, Drama",67,117 min,129808,"2,402,004",2017
Star Trek: Discovery,7.1,"Action, Adventure, Drama",N/A,60 min,129434,N/A,2017
Okja,7.3,"Action, Adventure, Drama",75,120 min,128328,N/A,2017
Mente Brilhante,7.6,Drama,60,101 min,125253,"24,801,212",2017
Nunca Estiveste Aqui,6.7,"Crime, Drama",84,89 min,124373,"2,528,078",2017
The Florida Project,7.6,Drama,92,111 min,122443,"5,904,366",2017
O Estrangeiro,7.0,"Action, Thriller",55,113 min,119700,"34,393,507",2017
Jogo Perigoso,6.5,"Drama, Horror, Thriller",77,103 min,119215,N/A,2017
Pequena Grande Vida,5.8,"Drama, Fantasy, Sci-Fi",64,135 min,116525,"24,449,754",2017
Geostorm - Ameaça Global,5.3,"Action, Sci-Fi, Thriller",21,109 min,114266,"33,700,160",2017
Os Defensores,7.2,"Action, Adventure, Crime",N/A,50 min,113198,N/A,2017
Carros 3,6.7,"Animation, Adventure, Comedy",59,102 min,112892,"152,901,115",2017
Power Rangers,5.9,"Action, Adventure, Fantasy",44,124 min,112098,"85,364,450",2017
The Ritual,6.3,"Horror, Mystery, Thriller",57,94 min,111700,N/A,2017
A Morte de Estaline,7.2,"Comedy, Drama, History",88,107 min,109152,"8,041,828",2017
Baahubali 2: The Conclusion,8.2,"Action, Drama",N/A,167 min,108920,"20,186,659",2017
As Cinquenta Sombras Mais Negras,4.6,"Drama, Romance, Thriller",33,118 min,107760,"114,376,885",2017
The Good Doctor,8.0,Drama,N/A,41 min,106934,N/A,2017
A Babysitter,6.3,"Comedy, Horror",N/A,85 min,102741,N/A,2017
